127.0.0.1 - - [08/May/2025:22:23:54 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [08/May/2025:22:24:02 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3207
0:0:0:0:0:0:0:1 - - [08/May/2025:22:24:03 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [08/May/2025:22:30:19 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3514
0:0:0:0:0:0:0:1 - - [08/May/2025:22:30:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [08/May/2025:22:31:53 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3524
0:0:0:0:0:0:0:1 - - [08/May/2025:22:32:26 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [08/May/2025:22:34:51 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [08/May/2025:22:35:44 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3563
0:0:0:0:0:0:0:1 - - [08/May/2025:22:39:25 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [08/May/2025:22:40:27 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3577
0:0:0:0:0:0:0:1 - - [08/May/2025:22:40:31 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3577
0:0:0:0:0:0:0:1 - - [08/May/2025:22:40:34 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3577
0:0:0:0:0:0:0:1 - - [08/May/2025:22:42:19 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3575
0:0:0:0:0:0:0:1 - - [08/May/2025:22:42:20 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3575
0:0:0:0:0:0:0:1 - - [08/May/2025:22:43:46 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [08/May/2025:22:45:18 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3630
0:0:0:0:0:0:0:1 - - [08/May/2025:22:45:27 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3630
0:0:0:0:0:0:0:1 - - [08/May/2025:22:47:41 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3678
0:0:0:0:0:0:0:1 - - [08/May/2025:22:47:41 +0530] "GET /CyborgSys/DoctorDashboard.jsp HTTP/1.1" 200 3678
